Wrestler,Elo,Max Elo,Min Elo,Number of Matches
Jeff Hardy,8251.218910185315,8251.218995840989,1095.0,3
Andrade El Ídolo,7908.873995150949,7908.8739951598245,1095.0,17
Will Ospreay,7844.51409541822,7844.51409541822,1095.0,2
Kyle O'Reilly,7030.116366145427,7030.349434087174,1095.0,5
Mr. Brodie Lee,6972.285596657834,6972.28559669017,1095.0,6
Adam Cole,6780.968127453441,6780.968127453441,1095.0,19
Brody King,6766.792222179179,6766.792433805015,1095.0,4
Christian Cage,6412.161851806855,6470.758764519204,1095.0,12
Jon Moxley,6362.175043590905,6362.193233209678,1095.0,66
Kenny Omega,6252.555818822969,6252.555915477466,100.0,26
Chris Jericho,5979.146915496717,5979.146915496717,1095.0,34
Bryan Danielson,5896.769908750328,5949.855437507666,1095.0,31
Frankie Kazarian,5884.793642835062,5905.117661052328,1095.0,47
MJF,5794.479934070677,5843.452158247487,1095.0,28
CM Punk,5792.032035081565,5792.032035081565,1095.0,20
Miro,5765.240256667964,5773.789309267418,1095.0,20
Adam Page,5703.6069047440615,5759.373064402417,1095.0,41
Samoa Joe,5686.977513882155,5687.000931597913,1095.0,7
Jonathan Gresham,5686.976959385514,5686.976959385514,1095.0,3
Malakai Black,5685.684453872447,5688.045009808394,1095.0,10
Claudio Castagnoli,5540.54194100337,5687.027084931236,1095.0,8
Cody Rhodes,5518.393959693977,5518.393959694107,1095.0,18
PAC,5510.001849192979,5523.596619903078,1095.0,36
Orange Cassidy,5459.939532252485,5459.939532252485,1095.0,52
Keith Lee,5427.037174525903,5427.037174525903,1095.0,6
Darby Allin,5399.527640492737,5399.527644925637,1095.0,65
Lance Archer,5183.187133470144,5237.153922644021,1095.0,63
Doc Gallows,5127.0,5127.0,1095.0,1
Paul Wight,5126.99999974761,5126.99999974761,1095.0,4
Jake Hager,5126.187820002593,5126.999997267172,1095.0,13
Rush,5121.067338037046,5127.0,1095.0,5
Konosuke Takeshita,5119.444961146966,5126.132859102152,1095.0,14
Dante Martin,4958.406397832349,4958.875853965585,1094.9999999999995,54
Ethan Page,4879.687950239779,4883.424722691739,1095.0,25
Eddie Kingston,4788.109312989767,4788.1362748532365,1094.9999999999986,34
Penta El Zero Miedo,4717.639828906558,4717.639839105919,1095.0,14
Ryan Nemeth,4663.648179756739,4678.999921141236,1095.0,23
Matt Sydal,4660.06426520059,4710.6769974604795,1094.999999383708,44
Max Caster,4602.36257683169,4678.999920524941,1094.999999383708,25
Jack Evans,4575.213549235211,4678.999997741723,1094.9999999888446,18
Swerve Strickland,4536.359204304892,5126.999999992523,1095.0,7
Slim J,4476.307528567437,4476.307528567437,1095.0,2
John Silver,4449.988070632129,5126.999997471988,1095.0,18
Alex Reynolds,4429.188836732423,4429.188836732423,1094.9999999999995,11
Luther,4382.33205736457,4427.160742415597,1095.0,11
Brian Pillman Jr.,4342.890954430224,4342.891476998051,310.89165071017885,11
Rey Fénix,4325.461789121932,4325.520943574609,1095.0,25
HOOK,4281.256394015027,4281.256394015027,1095.0,13
Dustin Rhodes,4235.854976670914,4235.857410740246,100.0,21
Evil Uno,4230.252930886979,4230.325390100681,1094.999999999659,9
Colten Gunn,4224.897478994968,5091.310198063888,1095.0,3
Parker Boudreaux,4139.015006396487,4139.015006396487,1095.0,4
Sammy Guevara,4121.88263227153,4121.882634942347,100.0,53
Wardlow,4076.6905376459295,4076.6905376459295,1094.999999998725,52
Wheeler Yuta,3918.083606081028,3918.1232874883653,100.0,28
Lee Moriarty,3781.403914226046,3781.403914226046,422.99963644902266,21
Anthony Bowens,3781.26266053562,3781.272902294484,1094.9996373295985,10
Tony Nese,3742.9303963984826,3790.358322191696,1095.0,24
Joey Janela,3558.0238468889706,3558.9503874648876,1095.0,34
Scorpio Sky,3498.6231977370758,3552.163749496997,1095.0,36
Matt Hardy,3455.5673244404575,3455.5678448884114,1095.0,27
QT Marshall,3437.5491510680035,3448.0028604919935,557.0425790643958,45
Powerhouse Hobbs,3381.0049939388377,3381.0049939388377,1095.0,40
Anthony Greene,3351.8598822414747,3569.6856888948914,441.23725739349834,6
Daniel Garcia,3301.7030130861112,3301.7030130861112,204.6045785626029,27
The Blade,3292.834759944454,3293.178906310774,1095.0,10
Ricky Starks,3291.873734775669,3344.0235915160115,1094.9999999999873,40
Shawn Spears,3240.0783914287667,3334.8728699801973,198.87288977013782,40
Rohit Raju,3235.5598573565753,3235.5598573565753,100.0,5
Jimmy Havoc,2998.9081345392897,2998.9081345392897,1095.0,11
Christopher Daniels,2953.026937031146,2953.175797153776,100.0,17
Minoru Suzuki,2886.9999999999836,2886.9999999999836,199.0000000000008,4
Marko Stunt,2871.4760793702094,2886.456617356255,198.99410415612755,18
Jungle Boy,2869.0118206905036,2878.2344802648486,1095.0,31
Cezar Bononi,2864.854118108788,2882.833522757066,1090.8335579188365,14
Isiah Kassidy,2705.8704055936555,2870.97635268707,1094.9994139530495,11
Jay Lethal,2662.0168478788396,2689.254204493042,1094.9984626661749,22
Brian Cage,2583.0659854743085,2666.754557763906,1095.0,40
Kip Sabian,2475.6135346392985,2475.7895249015173,1095.0,25
Cole Karter,2438.5452416646267,2438.5452416646267,198.99314290596425,6
Angelico,2309.4896272744704,2323.1552175238235,535.000630716152,27
Luchasaurus,2118.024981340382,2118.024981340382,1094.6864727860475,13
Jay White,2103.000052094328,2103.000052094328,1095.0,2
Anthony Ogogo,2103.0000091834754,2103.0000091834754,1095.0,18
Trent? Beretta,2103.0000046817477,2103.0000046817486,311.0000046817486,7
Lio Rush,2103.0,2103.0,1095.0,1
Ren Narita,2103.0,2103.0,1095.0,1
Karl Anderson,2103.0,2103.0,1095.0,2
Angelo Parker,2102.9999976801287,2103.0000035837597,1095.0,3
Billy Gunn,2102.9645325813317,2103.0,1095.0,5
CIMA,2102.900833143691,2103.0,1095.0,3
Infinito,2098.8273572234025,2098.8273572234025,1095.0,1
Jake Atlas,2018.8222510250657,2018.8222510250657,1095.0,2
Hikuleo,1991.0,1991.0,1095.0,2
Johnny Elite,1990.9839453484801,1990.9839453484801,1095.0,3
Danhausen,1990.6638706383728,1990.6870310631075,1094.9999999962617,6
Danny Limelight,1983.8713593963228,2019.0508288593117,748.4411139393717,16
Arjun Singh,1888.0612591024205,1888.061259103513,1093.7211395969773,4
Stu Grayson,1880.0256401931038,1880.0256401931038,1094.8542780936664,4
Josh Woods,1878.9683012061948,1878.9683012061948,1094.9999487809434,7
Griff Garrison,1836.8617435935223,1877.4370713162125,310.27975795543824,14
Shawn Dean,1782.187206086868,1782.187206086868,311.63159849746705,31
Dax Harwood,1743.5138223891192,1745.2442127780068,1076.9700637278527,9
Brock Anderson,1734.1949304761415,1734.1949304761415,890.6543200922079,4
Colt Cabana,1690.9933950962763,1690.9949940871088,875.8715680796543,22
The Butcher,1655.0130500026846,1655.0133359198244,1095.0,8
Sonny Kiss,1606.9154155720807,2103.0,1095.0,40
Zack Clayton,1552.2297868216642,1552.2297868216642,780.6191175834191,14
Aaron Solo,1537.813405229253,1538.953325066842,1094.999999998963,15
Nick Comoroto,1438.7021012537014,1438.7021024481305,1050.4944992689682,24
Blake Christian,1433.7670469313234,2103.0,1095.0,8
Mike Sydal,1421.4502188478325,1994.3135963532507,1094.5968796491068,8
Chuck Taylor,1405.8837111066173,1405.8837111066173,1094.9975429143626,14
Lee Johnson,1383.1259920679686,1383.1259920679686,325.97210508747526,35
