Tag Team,Elo,Max Elo,Min Elo,Number of Matches
Darby Allin & Sting,9158.999998524287,9158.999998524287,1095.0,3
FTR (Dax Harwood & Cash Wheeler),8168.395025787508,8168.395025846745,1095.0,41
SCU (Frankie Kazarian & Scorpio Sky),6745.639702917369,6745.64400636429,1094.8542780936664,17
Kenny Omega & Adam Page,6582.853605874827,6582.853624578983,1095.0,17
Penta El Zero Miedo & Eddie Kingston,5238.979468920124,5238.979468920124,1095.0,5
Swerve in Our Glory (Keith Lee & Swerve Strickland),5204.321002293542,5204.321002293542,1095.0,7
Jon Moxley & Eddie Kingston,5165.801935633854,5165.801935633854,1095.0,8
The Inner Circle (Chris Jericho & Jake Hager),5127.291269846763,5127.291269846819,1095.0,6
The Factory (QT Marshall & Anthony Ogogo),5127.0,5127.0,1095.0,1
CM Punk & Jon Moxley,5127.0,5127.0,1095.0,1
Sammy Guevara & Shawn Spears,5127.0,5127.0,1095.0,1
La Faccion Ingobernable (Andrade El Ídolo & Rush),5127.0,5127.0,1095.0,1
The Blackpool Combat Club (Jon Moxley & Wheeler Yuta),5127.0,5127.0,1095.0,1
Chris Jericho & Orange Cassidy,5126.999999977629,5126.999999977629,1095.0,1
The Jericho Appreciation Society (Chris Jericho & Daniel Garcia),5126.999138971826,5126.999138971826,1095.0,1
Orange Cassidy & Tomohiro Ishii,5126.799477659704,5126.799477659704,1095.0,1
Kings of the Black Throne (Malakai Black & Brody King),5126.749720145264,5126.749720145264,1095.0,4
The Dark Order (Evil Uno & 10),5126.745006024974,5126.745006024974,1095.0,7
Adam Page & 10,5126.745006024974,5126.745006024974,1095.0,1
Matt Sydal & Lee Moriarty,5126.744034536389,5126.7450060416095,1095.0,4
The Hardys (Matt Hardy & Jeff Hardy),5126.743139196293,5126.743139196293,1095.0,3
Kip Sabian & Miro,5126.732798662573,5126.732798662573,1095.0,3
reDRagon (Bobby Fish & Kyle O'Reilly),5126.71445997227,5126.714709299558,1095.0,2
Christian Cage & Luchasaurus,5126.2713353602485,5126.2713353602485,1095.0,1
The Inner Circle (Chris Jericho & MJF),5126.193542639577,5126.193655020228,1095.0,5
Adam Page & Matt Hardy,5126.041188389569,5126.041188389569,1095.0,2
Le Sex Gods (Chris Jericho & Sammy Guevara),5124.996566543922,5126.745006024974,1095.0,6
