Tag Team,Elo,Max Elo,Min Elo,Number of Matches
FTR (Dax Harwood & Cash Wheeler) & Tully Blanchard,5305.1608027686,5305.1608027686,1095.0,1
"The Jericho Appreciation Society (Chris Jericho, Jake Hager, & Daniel Garcia)",5126.999999999999,5126.999999999999,1095.0,1
Danhausen & FTR (Dax Harwood & Cash Wheeler),5126.999999997738,5126.999999997738,1095.0,1
Adam Cole & reDRagon (Bobby Fish & Kyle O'Reilly),5126.999999997325,5126.999999997325,1095.0,2
PAC & The Hybrid2 (Angelico & Jack Evans),5126.773557804375,5126.773557804375,1095.0,1
Lance Archer & The Dark Order (Evil Uno & Stu Grayson),5126.745006024974,5126.745006024974,1095.0,1
Colt Cabana & The Young Bucks (Matt Jackson & Nick Jackson),5126.745006024974,5126.745006024974,1095.0,1
The Superkliq (Adam Cole & The Young Bucks (Matt Jackson & Nick Jackson)),5126.745006024875,5126.745006024974,1095.0,3
"Jon Moxley, Lance Archer, & Rey Fénix",5126.744708810134,5126.744708810134,1095.0,1
"The Inner Circle (Chris Jericho, Santana, & Ortiz)",5126.202352090395,5126.202352090395,1095.0,3
Christian Cage & Jurassic Express (Jungle Boy & Luchasaurus),4790.886674279267,4790.886674279267,1095.0,4
"Eddie Kingston, Santana, & Ortiz",4678.999999996211,4678.999999996211,1094.9999999985882,3
"The Dark Order (Evil Uno, Alex Reynolds, & 10)",4457.498502570584,4457.498502570584,1094.9999999988065,2
Max Caster & The Gunn Club (Austin Gunn & Colten Gunn),3906.697553678182,3906.69755367881,100.0,5
Adam Page & The Dark Order (Alex Reynolds & John Silver),3890.352461862727,3890.357877509887,100.0,6
Dante Martin & The Varsity Blonds (Brian Pillman Jr. & Griff Garrison),3683.7409341514362,3683.7409341514362,100.0,2
United Empire (Will Ospreay & Aussie Open (Mark Davis & Kyle Fletcher)),3459.999353019507,3459.9994504065626,100.0,4
The Young Bucks (Matt Jackson & Nick Jackson) & Brandon Cutler,3442.3902527422224,3442.3902527422224,100.0,3
Kenny Omega & The Good Brothers (Karl Anderson & Doc Gallows),2886.999974701973,2886.999974701973,1095.0,4
"The Blackpool Combat Club (Bryan Danielson, Jon Moxley, & Wheeler Yuta)",2886.0882105644514,2886.0882105644514,1095.0,4
Best Friends (Chuck Taylor & Trent?) & Orange Cassidy,2816.2681135905273,2816.2681135905273,1095.0,4
"The Dark Order (Evil Uno, Stu Grayson, & Alan Angels)",2787.805700613577,2787.805700613577,100.0,4
Matt Hardy & Private Party (Isiah Kassidy & Marq Quen),2672.4662769356405,2672.4662769356405,1095.0,5
"Orange Cassidy, Chuck Taylor, & Wheeler Yuta",2639.633733211799,2639.633733211799,966.7574012432531,4
"The House of Black (Malakai Black, Brody King, & Buddy Matthews)",2592.953053141352,2592.954901024109,1095.0,8
"The Gunn Club (Billy Gunn, Austin Gunn, & Colten Gunn)",2550.9999889169358,2550.9999889169358,1095.0,12
MJF & The Butcher and The Blade,2289.6670973593004,2289.6670973593004,1095.0,2
Dustin Rhodes & The Young Bucks (Matt Jackson & Nick Jackson),2111.909800745792,2111.909800745792,1095.0,1
Men of the Year (Scorpio Sky & Ethan Page) & Junior Dos Santos,2111.909800745792,2111.909800745792,1095.0,1
Matt Jackson & The Good Brothers (Karl Anderson & Doc Gallows),2111.909800745792,2111.909800745792,1095.0,1
The Gunn Club (Billy Gunn & Colten Gunn) & Brock Anderson,2111.909800745792,2111.909800745792,1095.0,1
Brock Anderson & The Varsity Blonds (Brian Pillman Jr. & Griff Garrison),2111.909800745792,2111.909800745792,1095.0,1
Dante Martin & The Sydal Brothers (Matt Sydal & Mike Sydal),2111.806389673402,2111.909800745792,1095.0,2
The Pinnacle (Shawn Spears & FTR (Dax Harwood & Cash Wheeler)),2103.0000067195765,2103.0000067195765,1095.0,3
"Dante Martin, Lee Moriarty, & Matt Sydal",2103.0000035837734,2103.0000035837734,1095.0,2
The Natural Nightmares (Dustin Rhodes & QT Marshall) & Nick Comoroto,2103.0000035837734,2103.0000035837734,1095.0,2
CM Punk & FTR (Dax Harwood & Cash Wheeler),2103.0,2103.0,1095.0,1
"Sammy Guevara, Darby Allin, & Sting",2103.0,2103.0,1095.0,1
"Team Taz (Ricky Starks, Powerhouse Hobbs, & Dante Martin)",2103.0,2103.0,1095.0,1
"Kenny Omega, MT Nakazawa, & Konosuke Takeshita",2103.0,2103.0,1095.0,1
"MJF, Sammy Guevara, and Shawn Spears",2103.0,2103.0,1095.0,1
"CM Punk, Darby Allin, & Sting",2103.0,2103.0,1095.0,1
Trent? Beretta & FTR (Dax Harwood & Cash Wheeler),2103.0,2103.0,1095.0,1
