Wrestler,Elo,Max Elo,Min Elo,Number of Matches
Abadon,2662.38891042055,2662.38891042055,1094.6003237694367,38
The Bunny,2362.685400849828,2411.1841123669033,1094.9641009452694,22
Anna Jay,2939.6688390407603,2950.575406446297,310.60032379656514,31
AQA,1991.0001687793686,1991.0001687793686,1094.9999854440443,5
Athena,5176.271352841072,5176.271355805881,1095.0,10
Dr. Britt Baker DMD,4150.331022501463,4150.331022501463,1095.0,48
Emi Sakura,4095.359976188276,4115.73937162522,1095.0,32
Hikaru Shida,4073.2486228536022,4073.2486228536022,1094.8725050283595,60
Jade Cargill,3442.6339820526173,3442.6339820526173,1095.0,36
Jamie Hayter,6225.746600655761,6225.749445412829,401.75329294196945,17
Kris Statlander,5305.767801989512,5345.196925892945,1095.0,44
Leva Bates,1213.4899963795356,1236.7397481743876,100.0,13
Leyla Hirsch,3848.9804419418206,3904.138048014219,396.1112480676394,40
Madison Rayne,1743.9275229548066,1743.9275229548066,1095.0,4
Mercedes Martinez,1921.7504560497428,1921.7504560497428,1094.9999999990987,11
Nyla Rose,5504.8826899939495,5504.882721912393,1094.872505033056,64
Penelope Ford,4928.595168878861,5126.999999999866,1095.0,43
Red Velvet,2800.885977280896,2800.8906681994677,100.0,54
Riho,4682.5755558299,4682.57866703221,1095.0,32
Ruby Soho,5771.539787591534,5772.971746015276,1095.0,24
Serena Deeb,4225.394311907482,4273.328357405159,100.0,34
Thunder Rosa,4973.116717116358,4973.116717116358,1095.0,57
Toni Storm,7814.915458515539,7814.915458515539,1095.0,18
Yuka Sakazaki,6322.882845307902,6322.882847438451,1095.0,9
Awesome Kong,1990.9999881101692,1990.9999881101692,1095.0,3
Bea Priestley,883.0156528256599,1095.0,883.0156528256599,2
Big Swole,3817.9001479115477,4230.287299997427,1094.4711331163262,29
Brandi Rhodes,5126.745006024974,5126.745006024974,1095.0,9
Shanna,3653.7816104338845,3683.7398699974988,100.0,12
Abby Jane,1094.9995954659294,1095.0,1094.9995954659294,2
Aja Kong,1207.0,2103.0,1095.0,2
Alejandra Lion,1094.9831266144392,1095.0,1094.9831266144392,2
Alex Gracia,2309.5054423505962,2335.4439729590154,100.0,14
Alice Crowley,1094.9999561241173,1095.0,1094.9999561241173,2
Allie Katch,1094.9999999971835,1095.0,1094.9999999971835,1
Allie Recks,1094.5889058043042,1095.0,1094.5889058043042,1
Allysin Kay,1094.9962561180832,1095.0,1094.9962561180832,1
Amber Nova,1094.7383029046168,1095.0,1094.7383029046168,9
Amber Rodriguez,1094.9999999990987,1095.0,1094.9999999990987,1
Ameera,1094.999945755899,1095.0,1094.999945755899,1
Angelica Risk,1094.6795257662664,1095.0,1094.6795257662664,10
Arie Alexander,1094.9999171519796,1095.0,1094.9999171519796,2
Ashley D'Amboise,1023.3721247078986,1095.0,1023.3721247078986,18
Ashley Vox,4230.61402780906,4230.61403054955,1094.6352214552637,5
Ava Everett,1095.0,1095.0,1095.0,1
Avery Breaux,310.64433141086687,1095.0,310.64433141086687,4
B3cca,1095.0,1095.0,1095.0,2
Blair Onyx,310.6578177696664,1095.0,310.6578177696664,3
Brittany,1095.0,1095.0,1095.0,1
Brittany Blake,1094.9999999883928,1095.0,1094.9999999883928,1
Brittany Jade,1094.641574754915,1095.0,1094.641574754915,2
Brooke Havok,1069.4762323116565,1095.0,1069.4762323116565,2
Cassandra Golden,889.3391921061962,1095.0,889.3391921061962,3
Charlette Renegade,1094.9410984686908,1095.0,1094.9410984686908,7
Charlie Kruel,1095.0,1095.0,1095.0,1
Christi Jaynes,1879.2508547655675,1879.2508547655675,1094.9644670745888,3
Dani Jordyn,100.0,1095.0,100.0,18
Dani Mo,1094.9994649674184,1095.0,1094.9994649674184,3
Danielle Kamela,3100.288731805481,3683.7377565430343,100.0,3
Danika Della Rouge,1095.0,1095.0,1095.0,1
Danni Bee,1094.9959426015134,1095.0,1094.9959426015134,1
Davienne,1090.9627475515492,1095.0,1090.9627475515492,2
Delmi Exo,1095.0,1095.0,1095.0,1
Deonna Purrazzo,1094.178714413333,1095.0,1094.178714413333,1
Devlyn Macabre,1094.8807974328065,1095.0,1094.8807974328065,2
Diamanté,2081.9933311404575,2098.0839858306017,1094.9999999999593,40
Dream Girl Ellie,1095.0,1095.0,1095.0,1
Dulce Tormenta,1094.9999118384846,1095.0,1094.9999118384846,2
Elayna Black,1094.8542780936664,1095.0,1094.8542780936664,1
Ella Envy,1094.9999999979536,1095.0,1094.9999999979536,1
