Tag Team,Elo,Max Elo,Min Elo,Number of Matches
Allie & Dr. Britt Baker DMD,2103.0,2103.0,1095.0,1
Anna Jay & Kris Statlander,3683.9999918071744,3683.9999918071744,100.0,2
Anna Jay & Yuka Sakazaki,1095.0000052669666,1095.0000052669666,1095.0,1
Dr. Britt Baker DMD & Jamie Hayter,3446.702197854251,3446.702212006375,1095.0,9
Dr. Britt Baker DMD & Nyla Rose,5126.999999977629,5126.999999977629,1095.0,1
Dr. Britt Baker DMD & Penelope Ford,2102.6416716692493,2103.0,1095.0,2
Dr. Britt Baker DMD & Riho,3683.7409341514362,3683.7409341514362,100.0,3
Emi Sakura & The Bunny,100.0,1095.0,100.0,2
Emi Sakura & Jamie Hayter,2103.0,2103.0,1095.0,1
Hikaru Shida & Kris Statlander,3683.7409341290668,3683.7409341514362,100.0,5
Hikaru Shida & Thunder Rosa,5126.999996033118,5126.999996033118,1095.0,1
Hikaru Shida & Yuka Sakazaki,2103.0,2103.0,1095.0,1
Kris Statlander & Athena,1095.0000402067408,1095.0000402067408,1095.0,1
Kris Statlander & Red Velvet,2103.0,2103.0,1095.0,1
Kris Statlander & Ryo Mizunami,100.0,1095.0,100.0,1
Leva Bates & Nyla Rose,2103.0,2103.0,1095.0,1
Nyla Rose & The Bunny,5126.745006024974,5126.745006024974,1095.0,2
Nyla Rose & Emi Sakura,2103.000002687242,2103.0000035837734,1095.0,4
Nyla Rose & Jamie Hayter,100.0,1095.0,100.0,1
Nyla Rose & Penelope Ford,5126.999999977629,5126.999999977629,1095.0,1
Red Velvet & Leyla Hirsch,2103.0,2103.0,1095.0,1
Riho & Ruby Soho,5126.745006024974,5126.745006024974,1095.0,1
Riho & Yuka Sakazaki,100.0,1095.0,100.0,1
Ruby Soho & Anna Jay,1989.8261018736086,1989.8261018736086,1095.0,3
Ruby Soho & AQA,2101.6793770196814,2101.6793770196814,1095.0,1
Serena Deeb & Mercedes Martinez,2103.0000116472625,2103.0000116472625,1095.0,5
Serena Deeb & Nyla Rose,2103.0,2103.0,1095.0,1
Thunder Rosa & Mercedes Martinez,5126.744708810134,5126.744708810134,1095.0,1
Thunder Rosa & Ruby Soho,2103.0000035837734,2103.0000035837734,1095.0,2
ThunderStorm (Thunder Rosa & Toni Storm),5126.745006024861,5126.745006024974,1095.0,2
Toni Storm & Hikaru Shida,5126.9999997442155,5126.9999997442155,1095.0,2
Toni Storm & Ruby Soho,5126.744448159394,5126.744448159394,1095.0,2
Allie & Sadie Gibbs,2103.0,2103.0,1095.0,1
Red Velvet & Big Swole,2103.0,2103.0,1095.0,1
Riho & Shanna,100.0,1095.0,100.0,1
Abadon & Ryo Mizunami,2103.0,2103.0,1095.0,1
Anna Jay & Skye Blue,2103.0,2103.0,1095.0,1
Athena & Willow Nightingale,100.0,1095.0,100.0,1
The Bunny & Madi Wrenkowski,198.87288977013782,1095.0,198.87288977013782,2
The Bunny & Raychell Rose,100.0,1095.0,100.0,1
Dr. Britt Baker DMD & Maki Itoh,2103.0,2103.0,1095.0,1
Dasha & Rachael Ellering,100.0,1095.0,100.0,1
Emi Sakura & Diamanté,198.55935077087335,1095.0,198.55935077087335,3
Emi Sakura & Maki Itoh,2103.0,2103.0,1095.0,1
Emi Sakura & Mei Suruga,3683.7409341514362,3683.7409341514362,100.0,2
Hikaru Shida & Skye Blue,100.0,1095.0,100.0,1
Jade Cargill & Kiera Hogan,2103.0,2103.0,1095.0,1
Leva Bates & Jordan Blade,100.0,1095.0,100.0,1
Leva Bates & Madi Wrenkowski,100.0,1095.0,100.0,1
Leva Bates & Raché Chanel,100.0,1095.0,100.0,1
Leyla Hirsch & Ryo Mizunami,2103.0000067195747,2103.0000067195747,1095.0,3
Nyla Rose & Diamanté,2103.0,2103.0,1095.0,1
Nyla Rose & Madi Wrenkowski,100.0,1095.0,100.0,2
Nyla Rose & Marina Shafir,2102.8866832597655,2103.0,1095.0,8
Red Velvet & KiLynn King,5126.999996033118,5126.999996033118,1095.0,2
Riho & Ryo Mizunami,2103.0,2103.0,1095.0,1
Ruby Soho & Ryo Mizunami,2103.0,2103.0,1095.0,1
The Nightmare Collective (Brandi Rhodes & Mel),1094.8542780936664,1095.0,1094.8542780936664,1
Bea Priestley & Shoko Nakajima,2103.0,2103.0,1095.0,1
Big Swole & KiLynn King,2886.9998090749514,2886.9998090749514,1095.0,3
Big Swole & Lil Swole,1207.0000000000002,2103.0,1095.0,2
Alice Crowley & Missa Kate,1094.872505033056,1095.0,1094.872505033056,1
Amber Nova & Queen Aminata,100.0,1095.0,100.0,1
Diamanté & Amber Nova,1094.8725050283595,1095.0,1094.8725050283595,1
Diamanté & Ashley D'Amboise,1094.5919875882757,1095.0,1094.5919875882757,1
Diamanté & Raché Chanel,1094.872505033056,1095.0,1094.872505033056,1
Diamanté & Xtina Kay,1094.872505033056,1095.0,1094.872505033056,1
Dream Girl Ellie & Jennacide,1094.999998016559,1095.0,1094.999998016559,1
Ella Shae & Jaylee,100.0,1095.0,100.0,1
Freya States & Alice Crowley,100.0,1095.0,100.0,1
Heather Reckless & Joseline Navarro,1094.8723564333,1095.0,1094.8723564333,1
Heather Reckless & Laynie Luck,100.0,1095.0,100.0,1
Heather Reckless & Tootie Lynn,1094.8725050283595,1095.0,1094.8725050283595,1
Ivelisse & Diamanté,3180.0146742551733,3180.0146755774676,1095.0,15
Jazmin Allure & Tesha Price,100.0,1095.0,100.0,1
Joseline Navarro & Megan Meyers,1094.8725050283595,1095.0,1094.8725050283595,1
Katalina Perez & Leila Grey,1094.8723564256416,1095.0,1094.8723564256416,1
Kayla Sparks & Christina Marie,1094.8725050406879,1095.0,1094.8725050406879,1
Kenzie Paige & MJ Jenkins,100.0,1095.0,100.0,1
Kenzie Paige & Skyler Moore,1094.999998016559,1095.0,1094.999998016559,1
Kiera Hogan & Leila Grey,2103.0,2103.0,1095.0,1
KiLynn King & Savannah Evans,1094.999998016559,1095.0,1094.999998016559,1
KiLynn King & Skyler Moore,1094.8725050283595,1095.0,1094.8725050283595,1
KiLynn King & Tesha Price,1094.999998016559,1095.0,1094.999998016559,1
Lady Frost & Bionic Beast Jenna,1094.999998016559,1095.0,1094.999998016559,1
Madi Wrenkowski & Vipress,1095.0,1095.0,1095.0,1
Max the Impaler & Heidi Howitzer,100.0,1095.0,100.0,1
The MK Twins (Ashley MK & Steff MK),100.0,1095.0,100.0,2
Miranda Alize & Renee Michelle,1094.999998016559,1095.0,1094.999998016559,1
Nikii Duke & Tina San Antonio,100.0,1095.0,100.0,1
Nikki Victory & Megan Meyers,100.0,1095.0,100.0,1
Notorious Mimi & B3cca,100.0,1095.0,100.0,1
Raché Chanel & Skyler Moore,1094.999998016559,1095.0,1094.999998016559,1
Robyn Renegade & Charlette Renegade,198.5597618512781,1095.0,198.5597618512781,3
Rocky Radley & Allie Recks,1094.8725050283595,1095.0,1094.8725050283595,1
Sea Stars (Ashley Vox & Delmi Exo),1206.9999794483263,2102.9999794483124,1095.0,2
Shalandra Royal & Shazza McKenzie,100.0,1095.0,100.0,1
Shaloncé Royal & Angelica Risk,1094.8723564297654,1095.0,1094.8723564297654,1
Sierra & Laynie Luck,1094.8725050371654,1095.0,1094.8725050371654,1
Skye Blue & Ashley D'Amboise,1094.8721141803835,1095.0,1094.8721141803835,1
Skye Blue & Brittany,1094.8723564256416,1095.0,1094.8723564256416,1
Skye Blue & KiLynn King,100.0,1095.0,100.0,1
Skye Blue & Miyu Yamashita,100.0,1095.0,100.0,1
Skye Blue & Queen Aminata,1094.8723922694714,1095.0,1094.8723564362456,2
Skye Blue & Tina San Antonio,1094.8725050283595,1095.0,1094.8725050283595,1
Tesha Price & Katalina Perez,1094.999998016559,1095.0,1094.999998016559,1
Tootie Lynn & Miranda Gordy,100.0,1095.0,100.0,1
Vertvixen & Jazmin Allure,198.73124188446226,1095.0,198.73124188446226,4
Willow Nightingale & Erica Leigh,1094.8725050283595,1095.0,1094.8725050283595,1
Yaide & Anna Diaz,1094.872505033056,1095.0,1094.872505033056,1
