Tag Team,Elo,Max Elo,Min Elo,Number of Matches
FTR (Dax Harwood & Cash Wheeler),8168.395025787508,8168.395025846745,1095.0,41
Swerve in Our Glory (Keith Lee & Swerve Strickland),5204.321002293542,5204.321002293542,1095.0,7
The Lucha Brothers (Penta El Zero Miedo & Rey Fénix),4823.100530461333,4833.021025411023,1095.0,23
Dante Martin & Matt Sydal,4230.999999819141,4230.999999819141,1095.0,7
The Acclaimed (Anthony Bowens & Max Caster),3732.2981915414844,3732.2981915414844,1095.0,49
The Dark Order (Alex Reynolds & John Silver),2656.6233876179017,2658.298121499192,422.760352867134,26
Tony Nese & Josh Woods,2117.0474234433223,2117.0474234433223,1095.0,12
Jay Lethal & Satnam Singh,2103.0000094074044,2103.0000094074044,1095.0,4
The House of Black (Brody King & Buddy Matthews),2103.000003583674,2103.0000035837734,1095.0,3
Gates of Agony (Toa Liona & Kaun),2103.0,2103.0,1095.0,2
The Factory (QT Marshall & Nick Comoroto),2102.824642767849,2103.0,1095.0,4
The Butcher and The Blade,2061.2799921708843,2177.43290873558,1095.0,37
The Wingmen (Ryan Nemeth & Cezar Bononi),1991.1224832654398,1991.1233666409762,1094.8725050283595,5
The Varsity Blonds (Brian Pillman Jr. & Griff Garrison),1954.334110251159,2104.8153868754666,1095.0,38
The Factory (Aaron Solo & Cole Karter),1094.9999999999598,1095.0,1094.9999999999598,1
Action Andretti & Myles Hawkins,1094.901908242402,1095.0,1094.901908242402,2
