Wrestler,Elo,Max Elo,Min Elo,Number of Matches
Jon Moxley,6362.175043590905,6362.193233209678,1095.0,66
Chris Jericho,5979.146915496717,5979.146915496717,1095.0,34
Bryan Danielson,5896.769908750328,5949.855437507666,1095.0,31
Frankie Kazarian,5884.793642835062,5905.117661052328,1095.0,47
MJF,5794.479934070677,5843.452158247487,1095.0,28
Adam Page,5703.6069047440615,5759.373064402417,1095.0,41
Claudio Castagnoli,5540.54194100337,5687.027084931236,1095.0,8
PAC,5510.001849192979,5523.596619903078,1095.0,36
Orange Cassidy,5459.939532252485,5459.939532252485,1095.0,52
Darby Allin,5399.527640492737,5399.527644925637,1095.0,65
Lance Archer,5183.187133470144,5237.153922644021,1095.0,63
Rush,5121.067338037046,5127.0,1095.0,5
Dante Martin,4958.406397832349,4958.875853965585,1094.9999999999995,54
Ethan Page,4879.687950239779,4883.424722691739,1095.0,25
Eddie Kingston,4788.109312989767,4788.1362748532365,1094.9999999999986,34
Penta El Zero Miedo,4717.639828906558,4717.639839105919,1095.0,14
Ryan Nemeth,4663.648179756739,4678.999921141236,1095.0,23
Matt Sydal,4660.06426520059,4710.6769974604795,1094.999999383708,44
Swerve Strickland,4536.359204304892,5126.999999992523,1095.0,7
Slim J,4476.307528567437,4476.307528567437,1095.0,2
John Silver,4449.988070632129,5126.999997471988,1095.0,18
Rey Fénix,4325.461789121932,4325.520943574609,1095.0,25
HOOK,4281.256394015027,4281.256394015027,1095.0,13
Parker Boudreaux,4139.015006396487,4139.015006396487,1095.0,4
Sammy Guevara,4121.88263227153,4121.882634942347,100.0,53
Wardlow,4076.6905376459295,4076.6905376459295,1094.999999998725,52
Wheeler Yuta,3918.083606081028,3918.1232874883653,100.0,28
Lee Moriarty,3781.403914226046,3781.403914226046,422.99963644902266,21
Matt Hardy,3455.5673244404575,3455.5678448884114,1095.0,27
QT Marshall,3437.5491510680035,3448.0028604919935,557.0425790643958,45
Ricky Starks,3291.873734775669,3344.0235915160115,1094.9999999999873,40
Isiah Kassidy,2705.8704055936555,2870.97635268707,1094.9994139530495,11
Jay Lethal,2662.0168478788396,2689.254204493042,1094.9984626661749,22
Brian Cage,2583.0659854743085,2666.754557763906,1095.0,40
Kip Sabian,2475.6135346392985,2475.7895249015173,1095.0,25
Angelico,2309.4896272744704,2323.1552175238235,535.000630716152,27
Luchasaurus,2118.024981340382,2118.024981340382,1094.6864727860475,13
Anthony Ogogo,2103.0000091834754,2103.0000091834754,1095.0,18
Trent? Beretta,2103.0000046817477,2103.0000046817486,311.0000046817486,7
Danhausen,1990.6638706383728,1990.6870310631075,1094.9999999962617,6
Arjun Singh,1888.0612591024205,1888.061259103513,1093.7211395969773,4
Sonny Kiss,1606.9154155720807,2103.0,1095.0,40
Zack Clayton,1552.2297868216642,1552.2297868216642,780.6191175834191,14
Aaron Solo,1537.813405229253,1538.953325066842,1094.999999998963,15
Nick Comoroto,1438.7021012537014,1438.7021024481305,1050.4944992689682,24
Blake Christian,1433.7670469313234,2103.0,1095.0,8
Ortiz,1373.8267923570493,1373.8267923570493,1094.9999999988665,6
Leon Ruffin,1290.3679667995184,1290.3679667995184,1094.999999631956,5
Fuego Del Sol,1252.6393623484275,1252.9463344304236,100.0,45
Brandon Cutler,1113.108938217978,1143.8529484028697,100.0,32
Matt Menard,1095.0,1095.0,1095.0,1
AR Fox,1095.0,1095.0,1095.0,2
Cheeseburger,1094.999999996261,1095.0,1094.999999996261,3
Action Andretti,1094.999999875101,1095.0,1094.999999875101,2
Eli Isom,1094.9999993718716,1095.0,1094.9999993718716,1
Lord Crewe,1094.999999361416,1095.0,1094.999999361416,3
Papadon,1094.9991848902603,1095.0,1094.9991848902603,2
Anthony Henry,1094.5146756570987,1095.0,1094.5146756570987,7
Serpentico,804.4695861115167,1095.0,638.891514549582,52
Blake Li,583.7215293535476,1095.0,583.7215293535476,4
Vary Morales,562.9664433117443,1095.0,562.9664433117443,9
JD Drake,484.7515055099496,1095.0,198.68695439821852,22
Baron Black,446.2839907218506,1095.0,222.33145760259688,25
Bshp King,357.76923712759924,1095.0,357.76923712759924,3
Gus De La Vega,310.8868746302944,1095.0,310.8868746302944,3
Caleb Konley,100.0,1095.0,100.0,2
Dalton Castle,100.0,1095.0,100.0,2
