Wrestler,Elo,Max Elo,Min Elo,Number of Matches
Toni Storm,7814.915458515539,7814.915458515539,1095.0,18
Jamie Hayter,6225.746600655761,6225.749445412829,401.75329294196945,17
Nyla Rose,5504.8826899939495,5504.882721912393,1094.872505033056,64
Athena,5176.271352841072,5176.271355805881,1095.0,10
Riho,4682.5755558299,4682.57866703221,1095.0,32
Serena Deeb,4225.394311907482,4273.328357405159,100.0,34
Emi Sakura,4095.359976188276,4115.73937162522,1095.0,32
Hikaru Shida,4073.2486228536022,4073.2486228536022,1094.8725050283595,60
Marina Shafir,3544.9593176143003,3549.062971397174,1095.0,18
Jade Cargill,3442.6339820526173,3442.6339820526173,1095.0,36
Abadon,2662.38891042055,2662.38891042055,1094.6003237694367,38
Skye Blue,2339.8478754205976,2438.5939427481567,1094.5941659362445,29
Diamanté,2081.9933311404575,2098.0839858306017,1094.9999999999593,40
Madison Rayne,1743.9275229548066,1743.9275229548066,1095.0,4
Willow Nightingale,1264.700680328271,1264.700680328271,1088.158012273448,19
KiLynn King,1264.3695751449116,1264.3695751449116,100.0,40
Robyn Renegade,1104.3353689959613,1150.9080497903458,1094.7837051067324,16
Jordan Blade,1095.0,1095.0,1095.0,1
Haley J,1094.999999999962,1095.0,1094.999999999962,2
Abby Jane,1094.9995954659294,1095.0,1094.9995954659294,2
Erica Leigh,1094.9911984677287,1095.0,1094.9911984677287,2
La Rosa Negra,1094.9901640917228,1095.0,1094.9901640917228,3
Trish Adora,1094.261343946909,1095.0,1094.261343946909,4
Leila Grey,1049.1092507942537,1095.0,527.9042448282925,20
Sahara Seven,799.3326329050126,1095.0,799.3326329050126,5
Viva Van,534.5795592513035,1095.0,534.5795592513035,5
Avery Breaux,310.64433141086687,1095.0,310.64433141086687,4
Gia Scott,200.1017390437454,1095.0,200.1017390437454,3
Freya States,199.00003907148735,1095.0,199.00003907148735,3
